       307 MEMB     3        POPC     H3R      HAL2     0.900000E-01   1.00800           0
       308 MEMB     3        POPC     H3S      HAL2     0.900000E-01   1.00800           0
       309 MEMB     3        POPC     C24      CTL2    -0.180000       12.0110           0
       310 MEMB     3        POPC     H4R      HAL2     0.900000E-01   1.00800           0
       311 MEMB     3        POPC     H4S      HAL2     0.900000E-01   1.00800           0
       312 MEMB     3        POPC     C25      CTL2    -0.180000       12.0110           0
       313 MEMB     3        POPC     H5R      HAL2     0.900000E-01   1.00800           0
       314 MEMB     3        POPC     H5S      HAL2     0.900000E-01   1.00800           0
       315 MEMB     3        POPC     C26      CTL2    -0.180000       12.0110           0
       316 MEMB     3        POPC     H6R      HAL2     0.900000E-01   1.00800           0
       317 MEMB     3        POPC     H6S      HAL2     0.900000E-01   1.00800           0
       318 MEMB     3        POPC     C27      CTL2    -0.180000       12.0110           0
       319 MEMB     3        POPC     H7R      HAL2     0.900000E-01   1.00800           0
       320 MEMB     3        POPC     H7S      HAL2     0.900000E-01   1.00800           0
       321 MEMB     3        POPC     C28      CTL2    -0.180000       12.0110           0
       322 MEMB     3        POPC     H8R      HAL2     0.900000E-01   1.00800           0
       323 MEMB     3        POPC     H8S      HAL2     0.900000E-01   1.00800           0
       324 MEMB     3        POPC     C29      CEL1    -0.150000       12.0110           0
       325 MEMB     3        POPC     H91      HEL1     0.150000       1.00800           0
       326 MEMB     3        POPC     C210     CEL1    -0.150000       12.0110           0
       327 MEMB     3        POPC     H101     HEL1     0.150000       1.00800           0
       328 MEMB     3        POPC     C211     CTL2    -0.180000       12.0110           0
       329 MEMB     3        POPC     H11R     HAL2     0.900000E-01   1.00800           0
       330 MEMB     3        POPC     H11S     HAL2     0.900000E-01   1.00800           0
       331 MEMB     3        POPC     C212     CTL2    -0.180000       12.0110           0
       332 MEMB     3        POPC     H12R     HAL2     0.900000E-01   1.00800           0
       333 MEMB     3        POPC     H12S     HAL2     0.900000E-01   1.00800           0
       334 MEMB     3        POPC     C213     CTL2    -0.180000       12.0110           0
       335 MEMB     3        POPC     H13R     HAL2     0.900000E-01   1.00800           0
       336 MEMB     3        POPC     H13S     HAL2     0.900000E-01   1.00800           0
       337 MEMB     3        POPC     C214     CTL2    -0.180000       12.0110           0
       338 MEMB     3        POPC     H14R     HAL2     0.900000E-01   1.00800           0
       339 MEMB     3        POPC     H14S     HAL2     0.900000E-01   1.00800           0
       340 MEMB     3        POPC     C215     CTL2    -0.180000       12.0110           0
       341 MEMB     3        POPC     H15R     HAL2     0.900000E-01   1.00800           0
       342 MEMB     3        POPC     H15S     HAL2     0.900000E-01   1.00800           0
       343 MEMB     3        POPC     C216     CTL2    -0.180000       12.0110           0
       344 MEMB     3        POPC     H16R     HAL2     0.900000E-01   1.00800           0
       345 MEMB     3        POPC     H16S     HAL2     0.900000E-01   1.00800           0
       346 MEMB     3        POPC     C217     CTL2    -0.180000       12.0110           0
       347 MEMB     3        POPC     H17R     HAL2     0.900000E-01   1.00800           0
       348 MEMB     3        POPC     H17S     HAL2     0.900000E-01   1.00800           0
       349 MEMB     3        POPC     C218     CTL3    -0.270000       12.0110           0
       350 MEMB     3        POPC     H18R     HAL3     0.900000E-01   1.00800           0
       351 MEMB     3        POPC     H18S     HAL3     0.900000E-01   1.00800           0
       352 MEMB     3        POPC     H18T     HAL3     0.900000E-01   1.00800           0
       353 MEMB     3        POPC     C33      CTL2    -0.180000       12.0110           0
       354 MEMB     3        POPC     H3X      HAL2     0.900000E-01   1.00800           0
       355 MEMB     3        POPC     H3Y      HAL2     0.900000E-01   1.00800           0
       356 MEMB     3        POPC     C34      CTL2    -0.180000       12.0110           0
       357 MEMB     3        POPC     H4X      HAL2     0.900000E-01   1.00800           0
       358 MEMB     3        POPC     H4Y      HAL2     0.900000E-01   1.00800           0
       359 MEMB     3        POPC     C35      CTL2    -0.180000       12.0110           0
       360 MEMB     3        POPC     H5X      HAL2     0.900000E-01   1.00800           0
       361 MEMB     3        POPC     H5Y      HAL2     0.900000E-01   1.00800           0
       362 MEMB     3        POPC     C36      CTL2    -0.180000       12.0110           0
       363 MEMB     3        POPC     H6X      HAL2     0.900000E-01   1.00800           0
       364 MEMB     3        POPC     H6Y      HAL2     0.900000E-01   1.00800           0
       365 MEMB     3        POPC     C37      CTL2    -0.180000       12.0110           0
       366 MEMB     3        POPC     H7X      HAL2     0.900000E-01   1.00800           0
       367 MEMB     3        POPC     H7Y      HAL2     0.900000E-01   1.00800           0
       368 MEMB     3        POPC     C38      CTL2    -0.180000       12.0110           0
       369 MEMB     3        POPC     H8X      HAL2     0.900000E-01   1.00800           0
       370 MEMB     3        POPC     H8Y      HAL2     0.900000E-01   1.00800           0
       371 MEMB     3        POPC     C39      CTL2    -0.180000       12.0110           0
       372 MEMB     3        POPC     H9X      HAL2     0.900000E-01   1.00800           0
       373 MEMB     3        POPC     H9Y      HAL2     0.900000E-01   1.00800           0
       374 MEMB     3        POPC     C310     CTL2    -0.180000       12.0110           0
       375 MEMB     3        POPC     H10X     HAL2     0.900000E-01   1.00800           0
       376 MEMB     3        POPC     H10Y     HAL2     0.900000E-01   1.00800           0
       377 MEMB     3        POPC     C311     CTL2    -0.180000       12.0110           0
       378 MEMB     3        POPC     H11X     HAL2     0.900000E-01   1.00800           0
       379 MEMB     3        POPC     H11Y     HAL2     0.900000E-01   1.00800           0
       380 MEMB     3        POPC     C312     CTL2    -0.180000       12.0110           0
       381 MEMB     3        POPC     H12X     HAL2     0.900000E-01   1.00800           0
       382 MEMB     3        POPC     H12Y     HAL2     0.900000E-01   1.00800           0
       383 MEMB     3        POPC     C313     CTL2    -0.180000       12.0110           0
       384 MEMB     3        POPC     H13X     HAL2     0.900000E-01   1.00800           0
